"","state","sex","age","educ","race","pid7","ideo5","religion","votechoice","hispanic","know_governor","conceal","prochoice","cleanair","wall","mandmin","aca","minwage","newsint"
"46126","Tennessee","Female",47,"High school graduate","White","Strong Republican","Moderate","Nothing in particular",NA,"No","Republican","Support","Support","Oppose","Oppose","Oppose","Support","Oppose","Hardly at all"
"46127","Pennsylvania","Male",22,"High school graduate","White","Strong Republican","Moderate","Nothing in particular",NA,"No","Republican","Oppose","Support","Oppose","Oppose","Support","Support","Oppose","Some of the time"
"46128","Nevada","Male",32,"4-year","Hispanic","Strong Democrat","Very liberal","Roman Catholic","Joe Biden (Democrat)",NA,"Democrat","Support","Support","Support","Support","Support","Support","Favor","Most of the time"
"46129","Ohio","Male",20,"No HS","Black","Not very strong Republican","Conservative","Muslim",NA,"No","Never Heard of Person","Support","Support","Support","Support","Oppose","Oppose","Oppose","Most of the time"
"46130","Maryland","Female",20,"Some college","White","Lean Republican","Moderate","Nothing in particular",NA,"No","Democrat","Oppose","Support","Support","Support","Support","Support","Favor","Some of the time"
"46131","Georgia","Female",33,"Some college","White","Not very strong Republican","Moderate","Nothing in particular","Donald J. Trump (Republican)","No","Republican","Oppose","Support","Oppose","Oppose","Support","Support","Oppose","Some of the time"
"46132","Wisconsin","Female",60,"High school graduate","White","Independent","Liberal","Something else","Joe Biden (Democrat)","No","Democrat","Oppose","Support","Support","Oppose","Support","Oppose","Favor","Most of the time"
"46133","Illinois","Female",48,"High school graduate","White","Independent","Moderate","Nothing in particular","Joe Biden (Democrat)","No","Not sure","Oppose","Support","Oppose","Oppose","Support","Oppose","Favor","Hardly at all"
"46134","Texas","Male",40,"2-year","Asian","Independent","Not sure","Nothing in particular",NA,"No","Republican","Oppose","Support","Oppose","Support","Support","Support","Favor","Only now and then"
"46135","Florida","Female",31,"High school graduate","White","Strong Democrat","Very liberal","Protestant","Joe Biden (Democrat)","No","Republican","Oppose","Oppose","Support","Oppose","Support","Oppose","Oppose","Most of the time"
"46136","Illinois","Female",60,"High school graduate","White","Not very strong Republican","Not sure","Nothing in particular",NA,"No","Democrat","Oppose","Support","Support","Oppose","Support","Support","Favor","Some of the time"
"46137","Connecticut","Male",64,"High school graduate","Hispanic","Independent","Moderate","Roman Catholic","Joe Biden (Democrat)",NA,"Democrat","Oppose","Support","Support","Support","Oppose","Support","Oppose","Some of the time"
"46138","Florida","Male",40,"2-year","White","Lean Republican","Conservative","Roman Catholic","Donald J. Trump (Republican)","No","Republican","Support","Oppose","Oppose","Support","Support","Support","Oppose","Most of the time"
